qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,3.0893829374895306e10,1.0e8,-3.0993829374895306e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.7676485287383717e10,1.0e8,-1.7776485287383717e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,4728.318987154788,2.0976284302926085e9,1.0e8,-2.1976237019736214e9
0.5,0.0,1.9148817441844952e9,3.561654870753027e8,1.0e8,1.4587162571091924e9
-0.1,-0.9,469.1910049540952,1.4733425602013777e10,1.0e8,-1.4833425132822771e10
-0.6,-0.7,0.0,2.3441550708348698e10,1.0e8,-2.3541550708348698e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,1.5581512997860494e6,1.0e8,-1.0155815129978605e8
-0.2,0.9,0.0,1.6611077441206154e10,1.0e8,-1.6711077441206154e10
-1.0,-0.7,0.0,3.082230276811421e10,1.0e8,-3.092230276811421e10
-0.5,-0.4,0.0,1.8893594261374435e10,1.0e8,-1.8993594261374435e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,1.9805203195170066e9,3.0109991655946755e8,1.0e8,1.579420402957539e9
-1.2,1.1,0.0,2.8635986310598183e10,1.0e8,-2.8735986310598183e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,5.526535184504818e6,1.0e8,-1.0552653518450482e8
0.8,-1.4,106658.40179074126,6.230362871798446e9,1.0e8,-6.330256213396655e9
-0.7,-1.1,0.0,2.616688702050845e10,1.0e8,-2.626688702050845e10
-0.7,0.1,0.0,2.324650664929224e10,1.0e8,-2.334650664929224e10
-1.2,1.0,0.0,3.0125665032917065e10,1.0e8,-3.0225665032917065e10
1.8,0.0,2.537434873530733e9,5.95154360471466e6,1.0e8,2.431483329926018e9
1.4,-1.4,4.569003754429342e6,7.088507122130498e8,1.0e8,-8.042817084586204e8
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,50613.75279483905,8.016157051645059e9,1.0e8,-8.116106437892263e9
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,1.289354383108387e10,1.0e8,-1.299354383108387e10
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,2.4389948734603024e10,1.0e8,-2.4489948734603024e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,487.1261589048558,8.300236434615127e9,1.0e8,-8.400235947488968e9
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,3.028364599350262e10,1.0e8,-3.038364599350262e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,1.120820093862978e7,4.914346964326883e9,1.0e8,-5.003138763388253e9
-0.9,1.6,0.0,1.856877180850256e10,1.0e8,-1.866877180850256e10
-1.8,0.9,0.0,5.250137607028429e9,1.0e8,-5.350137607028429e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.4424623149457754e10,1.0e8,-1.4524623149457754e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,668323.9473329122,2.1786894726088996e9,1.0e8,-2.2780211486615667e9
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.3,0.6,459.93621413468804,1.5633525731288588e10,1.0e8,-1.5733525271352373e10
-0.1,-0.1,5.228422742584763e7,4.246468314328511e9,1.0e8,-4.2941840869026637e9
-1.1,-1.2,0.0,2.753062706961144e10,1.0e8,-2.763062706961144e10
0.1,-1.2,167.74580398642965,1.3955135565908419e10,1.0e8,-1.4055135398162615e10
-1.4,-1.7,0.0,0.0,1.0e8,-1.0e8
2.2,0.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.1,0.0,0.0,1.0e8,-1.0e8
-2.1,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.4,-0.8,0.0,1.9791597728306328e10,1.0e8,-1.9891597728306328e10
2.0,-0.4,0.0,0.0,1.0e8,-1.0e8
2.3,0.5,0.0,0.0,1.0e8,-1.0e8
0.2,-1.0,21935.646550796206,1.081301268086804e10,1.0e8,-1.0912990745221489e10
