qx,qy,γem,γabs,τinv,Γamp
-1.0,-0.6,0.0,1.784440770805102e10,1.0e8,-1.794440770805102e10
2.3,-0.5,0.0,0.0,1.0e8,-1.0e8
-0.2,-1.6,0.0,1.5717110348251925e10,1.0e8,-1.5817110348251925e10
1.3,2.2,0.0,0.0,1.0e8,-1.0e8
1.0,-1.7,0.0,4.232191043968755e9,1.0e8,-4.332191043968755e9
0.5,0.0,7.464324716124628e6,6.236646633266211e9,1.0e8,-6.329182308550086e9
-0.1,-0.9,2293.4375893199167,1.3270828558651129e10,1.0e8,-1.337082626521354e10
-0.6,-0.7,362.15674482930666,1.4867417385063393e10,1.0e8,-1.4967417022906649e10
1.9,1.9,0.0,0.0,1.0e8,-1.0e8
1.1,-1.7,0.0,4.075003926013899e8,1.0e8,-5.075003926013899e8
-0.2,0.9,1282.327844521006,1.3727432424052567e10,1.0e8,-1.3827431141724722e10
-1.0,-0.7,0.0,1.809314993573675e10,1.0e8,-1.819314993573675e10
-0.5,-0.4,44131.11345503465,1.1276801103153505e10,1.0e8,-1.137675697204005e10
0.4,-2.4,0.0,0.0,1.0e8,-1.0e8
-0.2,-2.3,0.0,0.0,1.0e8,-1.0e8
0.7,0.2,446235.733164541,8.809049997289463e9,1.0e8,-8.9086037615563e9
-1.2,1.1,0.0,1.7439445019774727e10,1.0e8,-1.7539445019774727e10
1.5,-1.7,0.0,0.0,1.0e8,-1.0e8
-0.3,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.0,0.0,0.0,1.0e8,-1.0e8
-2.4,1.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.4,-2.2,0.0,0.0,1.0e8,-1.0e8
0.4,2.0,0.0,5.331065431059939e7,1.0e8,-1.533106543105994e8
0.8,-1.4,0.0,1.3818262930257835e10,1.0e8,-1.3918262930257835e10
-0.7,-1.1,0.0,1.7603652316595364e10,1.0e8,-1.7703652316595364e10
-0.7,0.1,8261.790104567131,1.2739928868743305e10,1.0e8,-1.2839920606953201e10
-1.2,1.0,0.0,1.808875922097234e10,1.0e8,-1.818875922097234e10
1.8,0.0,0.0,1.008991822736702e10,1.0e8,-1.018991822736702e10
1.4,-1.4,0.0,3.383856467995772e9,1.0e8,-3.483856467995772e9
-1.8,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,1.3,0.0,1.4729950109389696e10,1.0e8,-1.4829950109389696e10
-1.9,-1.3,0.0,0.0,1.0e8,-1.0e8
-0.9,1.7,0.0,9.122804547816565e9,1.0e8,-9.222804547816565e9
1.6,2.3,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.9,0.0,1.6252258170298407e10,1.0e8,-1.6352258170298407e10
-2.4,-1.5,0.0,0.0,1.0e8,-1.0e8
0.6,-1.6,0.0,1.3272567035622684e10,1.0e8,-1.3372567035622684e10
1.7,2.3,0.0,0.0,1.0e8,-1.0e8
-1.8,-1.6,0.0,0.0,1.0e8,-1.0e8
-1.0,-0.9,0.0,1.8383677503615864e10,1.0e8,-1.8483677503615864e10
-2.1,1.3,0.0,0.0,1.0e8,-1.0e8
0.6,0.9,1231.5776584254777,1.3009457059203136e10,1.0e8,-1.3109455827625479e10
-0.9,1.6,0.0,1.2827820243110607e10,1.0e8,-1.2927820243110607e10
-1.8,0.9,0.0,1.853278760730165e9,1.0e8,-1.953278760730165e9
-0.4,2.5,0.0,0.0,1.0e8,-1.0e8
-2.1,-1.6,0.0,0.0,1.0e8,-1.0e8
0.6,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-1.8,0.0,1.238040640715866e10,1.0e8,-1.248040640715866e10
-1.8,-2.3,0.0,0.0,1.0e8,-1.0e8
1.2,1.5,0.0,7.466733272834951e9,1.0e8,-7.566733272834951e9
-2.1,0.9,0.0,0.0,1.0e8,-1.0e8
1.9,-2.1,0.0,0.0,1.0e8,-1.0e8
-0.3,0.6,50825.34111782759,1.10709677971076e10,1.0e8,-1.1170916971766481e10
-0.1,-0.1,1.8353269243298244e8,2.7725571266108146e9,1.0e8,-2.689024434177832e9
-1.1,-1.2,0.0,1.7253381192608536e10,1.0e8,-1.7353381192608536e10
0.1,-1.2,0.0,1.5204886910453056e10,1.0e8,-1.5304886910453056e10
-1.4,-1.7,0.0,0.0,1.0e8,-1.0e8
2.2,0.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.1,0.0,0.0,1.0e8,-1.0e8
-2.1,-2.3,0.0,0.0,1.0e8,-1.0e8
-0.4,-0.8,1061.6394710265008,1.4014585287197132e10,1.0e8,-1.4114584225557661e10
2.0,-0.4,0.0,5.523955169157267e6,1.0e8,-1.0552395516915727e8
2.3,0.5,0.0,0.0,1.0e8,-1.0e8
0.2,-1.0,947.790183519039,1.3555044209378641e10,1.0e8,-1.3655043261588457e10
-0.7,-1.4,0.0,1.706482686272167e10,1.0e8,-1.716482686272167e10
1.2,-1.5,0.0,7.466733272834951e9,1.0e8,-7.566733272834951e9
-1.3,-2.0,0.0,0.0,1.0e8,-1.0e8
0.0,-1.9,0.0,9.478539739552402e9,1.0e8,-9.578539739552402e9
2.1,1.2,0.0,0.0,1.0e8,-1.0e8
-2.4,1.0,0.0,0.0,1.0e8,-1.0e8
-1.3,1.7,0.0,0.0,1.0e8,-1.0e8
0.3,2.3,0.0,0.0,1.0e8,-1.0e8
-0.3,-0.3,2.207856388027196e6,7.611539458435112e9,1.0e8,-7.709331602047085e9
-0.1,1.4,0.0,1.6307788900909433e10,1.0e8,-1.6407788900909433e10
0.2,-0.6,424927.0161596603,9.039632171911308e9,1.0e8,-9.13920724489515e9
0.7,-1.7,0.0,1.0736335412801794e10,1.0e8,-1.0836335412801794e10
-1.1,1.8,0.0,0.0,1.0e8,-1.0e8
0.1,1.8,0.0,1.2398604616903952e10,1.0e8,-1.2498604616903952e10
2.5,1.2,0.0,0.0,1.0e8,-1.0e8
1.9,-1.8,0.0,0.0,1.0e8,-1.0e8
-1.3,1.6,0.0,246630.79441892638,1.0e8,-1.0024663079441893e8
2.4,-1.9,0.0,0.0,1.0e8,-1.0e8
-0.6,-0.1,53442.75009299851,1.1154461182528667e10,1.0e8,-1.1254407739778574e10
-0.9,-2.5,0.0,0.0,1.0e8,-1.0e8
-0.9,-2.2,0.0,0.0,1.0e8,-1.0e8
0.2,-0.7,97162.38934783384,1.0305884679997156e10,1.0e8,-1.040578751760781e10
-0.2,0.2,2.261728011566272e7,5.161483124669938e9,1.0e8,-5.2388658445542755e9
2.3,0.3,0.0,0.0,1.0e8,-1.0e8
1.9,0.6,0.0,2.174479421298898e9,1.0e8,-2.274479421298898e9
-0.1,0.8,11202.38133406326,1.2159363206284868e10,1.0e8,-1.2259352003903534e10
