s,Fx
0.0,0.001043439236170871
0.1,0.008659821165341615
0.2,0.01850475859936502
0.3,0.031208166343062956
0.4,0.050551122890402415
0.5,0.08292813317983555
0.6,0.14631348395550917
0.7,0.29512599221184815
0.8,0.7327438159243209
0.9,2.386300469628207
1.0,8.817148442299997
1.1,26.553815518034316
1.2,58.57001788187709
1.3,103.99447654543168
1.4,162.34201316588565
1.5,234.1369763486592
1.6,320.56741317074244
1.7,423.3151775413577
1.8,544.4383577568697
1.9,686.3726259381075
2.0,851.96037593596
2.1,1044.4468965774856
2.2,1267.5381679606187
2.3,1525.443081544191
2.4,1822.976726309516
2.5,2165.6232251634615
2.6,2559.5626495038114
2.7,3011.9330051018314
2.8,3530.777989955435
2.9,4125.180835281724
3.0,4805.399418269056
3.1,5582.9251260201345
3.2,6470.990551282894
3.3,7484.436829410424
3.4,8639.608939603972
3.5,9956.068495191412
3.6,11454.933848336912
3.7,13161.237700752372
3.8,15100.636374886746
3.9,17306.903790710963
4.0,19814.190965902206
4.1,22662.716456043883
4.2,25900.40846365572
4.3,29570.838570467575
4.4,33737.05033317109
4.5,38462.443746077144
4.6,43821.76418344656
4.7,49899.538311844655
4.8,56781.95382568695
4.9,64592.23781432249
5.0,73413.45503202859
5.1,83428.96063348452
5.2,94765.7493252241
5.3,107608.78205485229
5.4,122152.76204146186
5.5,138625.34400218405
5.6,157264.66491649547
5.7,178404.4323863489
5.8,202327.25793015686
5.9,229287.10489550803
6.0,260008.43422571622
6.1,294544.6299340263
6.2,333718.48107390595
6.3,378001.1107623462
6.4,428154.08988125477
6.5,485114.553550127
6.6,549520.8340742413
6.7,622193.7254111429
6.8,705007.8689493419
6.9,798531.1253129134
7.0,903956.8564296289
7.1,1.0242591473286761e6
7.2,1.159713253552112e6
7.3,1.3124936213569778e6
7.4,1.4867132202774175e6
7.5,1.6842640347609615e6
7.6,1.9071319638310103e6
7.7,2.1605053549909047e6
7.8,2.4476075660855556e6
7.9,2.7741284112727153e6
8.0,3.143843839691444e6
