s,Fx
0.0,14.491814930101617
0.1,-294.1450185574415
0.2,-553.2154946467356
0.3,-771.0291818682942
0.4,-954.2609026410878
0.5,-1108.2729568110083
0.6,-1237.4592598982938
0.7,-1345.4294955584753
0.8,-1435.01641590865
0.9,-1508.7552048351283
1.0,-1568.5236453406428
1.1,-1616.0946474090117
1.2,-1652.8558006091323
1.3,-1679.9626037736034
1.4,-1698.465452638473
1.5,-1709.1894737051978
1.6,-1712.86149190567
1.7,-1710.0856097732694
1.8,-1701.4607435652824
1.9,-1687.341057301935
2.0,-1668.3373467767353
2.1,-1644.6151255441182
2.2,-1616.4874569311921
2.3,-1584.2567209503386
2.4,-1548.1519144790848
2.5,-1508.3743522797242
2.6,-1465.0773491800799
2.7,-1418.404287738761
2.8,-1368.5012195463569
2.9,-1315.4787887014625
3.0,-1259.3758017156517
3.1,-1200.3296616707478
3.2,-1138.3066445124032
3.3,-1073.4629432603992
3.4,-1005.7747048653924
3.5,-935.2855708837631
3.6,-862.0286587982908
3.7,-785.9582881435201
3.8,-707.106598566287
3.9,-625.5025791225366
4.0,-541.1427105332032
4.1,-453.9151562686302
4.2,-363.8940393029484
4.3,-270.98693484173566
4.4,-175.1252223708881
4.5,-76.30143072085241
4.6,25.489036098221504
4.7,130.38247868855808
4.8,238.41312666793405
4.9,349.6684136219691
5.0,464.20325268450375
5.1,581.9928781484849
5.2,703.1721264772252
5.3,828.0347659924414
5.4,956.4554891006032
5.5,1088.6000576399579
5.6,1224.4106619054749
5.7,1364.254298325308
5.8,1508.2182390964279
5.9,1656.3046518845936
6.0,1808.5784950354378
