s,Fx
0.0,0.00039157031859615265
0.05,0.005866376523388293
0.1,0.011117907988927313
0.15,0.0163429759043461
0.2,0.021744478409866562
0.25,0.02754797892003052
0.3,0.03406452961464604
0.35,0.04168346545373784
0.4,0.050977688931181715
0.45,0.06279853747330467
0.5,0.07848770801528014
0.55,0.10025229188993062
0.6,0.13200659644913434
0.65,0.18113511439511695
0.7,0.2629005195334469
0.75,0.4118391462665794
0.8,0.7143427226389369
0.85,1.4031697611263294
0.9,3.122136650035777
0.95,7.569045451949716
1.0,18.67202541083048
1.05,43.9737953919417
1.1,95.73841115742196
1.15,192.47172961982136
1.2,362.1746137972824
1.25,647.9384953392971
1.3,1116.4521495075176
1.35,1870.748638848491
1.4,3069.431164659752
1.45,4955.754028798549
1.5,7901.6017188711485
1.55,12473.93171189632
1.6,19535.01115296728
1.65,30393.464962598435
1.7,47031.62957196396
1.75,72447.4017965408
1.8,111167.77198034439
1.85,170019.61511439574
1.9,259285.68261427263
1.95,394437.0881422099
2.0,598728.0664763573
